"ENGLISH","PSS Overall",,"Kagman HS",,"Marianas HS",,"Rita H Inos JSHS",,"Saipan Southern HS",,"Tinian JSHS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",18%,,13%,,19%,,17%,,23%,,13%,
"Ready",25%,,20%,,27%,,22%,,21%,,31%,
"Close",23%,,26%,,21%,,17%,,27%,,25%,
"Need Support",34%,,41%,,33%,,43%,,29%,,31%,
"Number Tested",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MATH","PSS Overall",,"Kagman HS",,"Marianas HS",,"Rita H Inos JSHS",,"Saipan Southern HS",,"Tinian JSHS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",1%,,0%,,2%,,0%,,2%,,2%,
"Ready",8%,,1%,,8%,,2%,,6%,,9%,
"Close",13%,,5%,,15%,,19%,,18%,,9%,
"Need Support",80%,,94%,,76%,,79%,,75%,,81%,
"Number Tested",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"READING","PSS Overall",,"Kagman HS",,"Marianas HS",,"Rita H Inos JSHS",,"Saipan Southern HS",,"Tinian JSHS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",2%,,1%,,3%,,9%,,1%,,2%,
"Ready",10%,,5%,,11%,,13%,,11%,,10%,
"Close",18%,,10%,,19%,,17%,,21%,,18%,
"Need Support",70%,,84%,,67%,,61%,,67%,,70%,
"Number Tested",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"SCIENCE","PSS Overall",,"Kagman HS",,"Marianas HS",,"Rita H Inos JSHS",,"Saipan Southern HS",,"Tinian JSHS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",2%,,0%,,2%,,2%,,0%,,4%,
"Ready",7%,,2%,,9%,,11%,,8%,,9%,
"Close",13%,,5%,,15%,,17%,,14%,,12%,
"Need Support",79%,,93%,,74%,,70%,,80%,,73%,
"Number Tested",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"WRITING","PSS Overall",,"Kagman HS",,"Marianas HS",,"Rita H Inos JSHS",,"Saipan Southern HS",,"Tinian JSHS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",2%,,0%,,3%,,2%,,3%,,0%,
"Ready",36%,,18%,,44%,,9%,,37%,,30%,
"Close",27%,,27%,,25%,,28%,,33%,,22%,
"Need Support",36%,,55%,,28%,,30%,,27%,,48%,
"Number Tested",,,,,,,,,,,,
