"ENGLISH","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",28%,200,33%,34,24%,15,22%,17,37%,35,32%,24,42%,11,18%,20,44%,14,24%,30
"Ready",29%,207,26%,27,24%,15,38%,29,32%,30,34%,26,15%,4,33%,36,25%,8,26%,32
"Close",36%,253,36%,37,41%,26,38%,29,29%,27,29%,22,35%,9,42%,46,22%,7,41%,50
"Need Support",6%,45,6%,6,11%,7,3%,2,2%,2,5%,4,8%,2,7%,8,9%,3,9%,11
"Number Tested",,705,,104,,63,,77,,94,,76,,26,,110,,32,,123
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"MATH","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",5%,32,4%,4,8%,5,6%,5,9%,8,1%,1,4%,1,0%,0,6%,2,5%,6
"Ready",23%,159,23%,24,25%,16,25%,19,37%,35,18%,14,23%,6,12%,13,22%,7,20%,25
"Close",42%,298,47%,49,44%,28,42%,32,34%,32,47%,36,38%,10,41%,45,41%,13,43%,53
"Need Support",31%,217,27%,28,22%,14,27%,21,30%,19,33%,25,35%,9,47%,52,31%,10,32%,39
"Number Tested",,706,,105,,63,,77,,94,,76,,26,,110,,32,,123
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"READING","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",5%,37,8%,8,5%,3,3%,2,3%,3,5%,4,8%,2,3%,3,9%,3,7%,9
"Ready",13%,89,20%,21,11%,7,9%,7,14%,13,13%,10,12%,3,6%,7,9%,3,15%,18
"Close",21%,147,21%,22,17%,11,27%,21,20%,19,20%,15,23%,6,15%,17,16%,5,25%,31
"Need Support",61%,433,51%,54,67%,42,61%,47,63%,59,62%,47,58%,15,75%,83,66%,21,53%,65
"Number Tested",,706,,105,,63,,77,,94,,76,,26,,110,,32,,123
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"SCIENCE","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",6%,44,5%,5,8%,5,3%,2,12%,11,8%,6,8%,2,0%,0,9%,3,8%,10
"Ready",10%,68,13%,13,8%,5,5%,4,11%,10,9%,7,12%,3,8%,9,3%,1,13%,16
"Close",14%,98,16%,17,11%,7,13%,10,19%,18,13%,10,15%,4,7%,8,9%,3,17%,21
"Need Support",70%,493,66%,69,72%,44,79%,61,59%,55,70%,53,65%,17,85%,93,78%,25,62%,76
"Number Tested",,703,,104,,61,,77,,94,,76,,26,,110,,32,,123
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"WRITING","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",1%,8,0%,0,0%,0,2%,1,2%,2,0%,0,0%,0,0%,0,0%,0,5%,5
"Ready",5%,32,2%,2,2%,1,3%,2,16%,15,6%,4,4%,1,0%,0,0%,0,6%,7
"Close",41%,254,38%,34,41%,24,45%,30,45%,41,54%,34,35%,8,21%,20,57%,16,43%,47
"Need Support",53%,332,60%,57,57%,33,50%,33,36%,32,40%,25,61%,14,79%,75,43%,12,46%,51
"Number Tested",,626,,93,,58,,66,,90,,63,,23,,95,,28,,110
