"ENGLISH","PSS Overall",,"Chacha MS",,"Dandan MS",,"Hopwood MS",,"Rita H Inos JSHS",,"FMS Middle School",,"Tinian TSHS",,"Tanapag MS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",34%,,29%,,40%,,38%,,32%,,25%,,25%,,32%,
"Ready",31%,,22%,,31%,,34%,,44%,,24%,,23%,,37%,
"Close",25%,,28%,,22%,,19%,,20%,,35%,,39%,,27%,
"Need Support",11%,,20%,,7%,,9%,,4%,,16%,,14%,,5%,
"Number Tested",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"MATH","PSS Overall",,"Chacha MS",,"Dandan MS",,"Hopwood MS",,"Rita H Inos JSHS",,"FMS Middle School",,"Tinian TSHS",,"Tanapag MS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",8%,,4%,,16%,,6%,,8%,,2%,,11%,,11%,
"Ready",12%,,11%,,12%,,15%,,20%,,7%,,11%,,8%,
"Close",28%,,19%,,31%,,31%,,32%,,30%,,29%,,19%,
"Need Support",52%,,65%,,41%,,49%,,40%,,62%,,49%,,62%,
"Number Tested",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"READING","PSS Overall",,"Chacha MS",,"Dandan MS",,"Hopwood MS",,"Rita H Inos JSHS",,"FMS Middle School",,"Tinian TSHS",,"Tanapag MS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",6%,,0%,,13%,,4%,,16%,,8%,,0%,,11%,
"Ready",20%,,13%,,25%,,21%,,16%,,13%,,27%,,18%,
"Close",29%,,19%,,27%,,32%,,32%,,33%,,22%,,27%,
"Need Support",45%,,67%,,35%,,43%,,35%,,48%,,51%,,44%,
"Number Tested",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"SCIENCE","PSS Overall",,"Chacha MS",,"Dandan MS",,"Hopwood MS",,"Rita H Inos JSHS",,"FMS Middle School",,"Tinian TSHS",,"Tanapag MS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",6%,,2%,,16%,,5%,,8%,,2%,,9%,,5%,
"Ready",15%,,11%,,22%,,14%,,20%,,10%,,18%,,15%,
"Close",21%,,24%,,17%,,24%,,24%,,18%,,24%,,19%,
"Need Support",57%,,63%,,45%,,57%,,48%,,72%,,49%,,61%,
"Number Tested",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"WRITING","PSS Overall",,"Chacha MS",,"Dandan MS",,"Hopwood MS",,"Rita H Inos JSHS",,"FMS Middle School",,"Tinian TSHS",,"Tanapag MS",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",3%,,1%,,6%,,1%,,8%,,2%,,0%,,3%,
"Ready",14%,,7%,,16%,,15%,,32%,,16%,,4%,,15%,
"Close",48%,,40%,,52%,,47%,,48%,,50%,,58%,,52%,
"Need Support",35%,,52%,,26%,,37%,,12%,,32%,,38%,,30%,
"Number Tested",,,,,,,,,,,,,,,,
